Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,47uF,
"C2, C3, C4",0805,3,10uF,
C5,C_Rect_L11.0mm_W4.2mm_P10.00mm_MKT,1,0.1uF ,
C6,0805,1,10uF,CL32A106KBJNNNE
"C7, C8, C9",0603,3,0.1uF,
Cbst1,0402,1,100nF,C1005X5R1H104K050BB//
Cff1,0402,1,68pF,GRM1555C1H560JA01D//
Cout1,1210,1,47uF,GRM32ER61C476KE15L
D1,D_SMA_Handsoldering,1,D,SS34
ESP1,ESP32-SOLO-1,1,ESP32-SOLO-1,
F1,Fuse_Littelfuse_395Series,1,2010T1A250V,
FL1,UU9.8,1,Filter_EMI_CommonMode,
"J1, J4",springNeedle,2,Conn_01x01_Socket,
"J2, J3, J5, J6",BlockTerminal,4,Conn_01x01_Socket,
J7,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04_Pin,
L1,L_Bourns_SRP7028A_7.3x6.6mm,1,L,74437349150//
R1,0603,1,4.6k,
"R2, R4, R5",0603,3,0,
R3,0603,1,10k,
RV1,RV_Disc_D12mm_W6.1mm_P7.5mm,1,Varistor,10D561K
RfBT1,0402,1,100k,CRCW0402100KFKED
Rfbb1,0402,1,13.7k,CRCW040213K7FKED
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.5mm,4,TestPoint,
U1,HLK-10M05,1,HLK_5V,
U2,SOT-23-5_HandSoldering,1,MT9700,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,SOT-23-6,1,TPS54202DDC,
