Designator,Mid X,Mid Y,Rotation,Layer
C1,6.92,47.25,180.0,bottom
C2,15.051589,41.31,270.0,bottom
C3,4.744,29.11,180.0,bottom
C4,13.22,25.25,0.0,bottom
C5,-2.58,28.0,180.0,top
C6,33.19,20.54,0.0,top
C7,26.67,14.75,180.0,bottom
C8,22.67,16.75,180.0,bottom
C9,5.3075,14.15,0.0,bottom
Cbst1,35.834,26.01,0.0,top
Cff1,36.87,20.75,180.0,top
Cout1,34.77,38.75,0.0,top
D1,33.92,17.5,0.0,top
ESP1,18.45,40.95,90.0,bottom
F1,-8.12,33.0,0.0,top
FL1,-13.446,22.8,0.0,top
J7,-4.33,53.75,90.0,bottom
L1,32.92,32.475,90.0,top
R1,4.6075,25.25,180.0,bottom
R2,4.67,27.0,0.0,bottom
R3,22.7575,14.75,180.0,bottom
R4,-5.326,50.64,0.0,bottom
R5,-5.33,48.75,0.0,bottom
RV1,-4.99,38.9925,90.0,top
RfBT1,36.8225,24.25,0.0,top
Rfbb1,36.8225,22.5,180.0,top
SW1,25.67,10.75,0.0,bottom
SW2,4.67,10.75,0.0,bottom
U1,0.42,8.0,90.0,top
U2,9.47,24.0,90.0,bottom
U3,9.42,42.0,180.0,bottom
U4,33.5575,23.5,0.0,top
